,threshold,lifecycle_segment,accuracy,recall,specificity,f1_score,precision,roc_auc,precision_recall_auc
0,0.3,frequent,0.52,0.86,0.45,0.39,0.25,0.74,0.57
1,0.5,frequent,0.72,0.6,0.75,0.44,0.34,0.74,0.51
2,0.7,frequent,0.82,0.23,0.95,0.32,0.49,0.74,0.43
3,0.3,low frequent,0.9,0.19,0.94,0.15,0.12,0.7,0.17
4,0.5,low frequent,0.95,0.01,1.0,0.02,0.16,0.7,0.11
5,0.7,low frequent,0.95,0.0,1.0,0.0,0.04,0.7,0.04
6,0.3,mid frequent,0.73,0.49,0.76,0.23,0.15,0.69,0.34
7,0.5,mid frequent,0.9,0.08,0.97,0.11,0.21,0.69,0.18
8,0.7,mid frequent,0.92,0.0,1.0,0.0,0.18,0.69,0.13
9,0.3,1_er,0.97,0.0,1.0,0.01,0.05,0.69,0.04
10,0.5,1_er,0.97,0.0,1.0,0.0,0.02,0.69,0.02
11,0.7,1_er,0.97,0.0,1.0,0.0,0.08,0.69,0.05
